,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.948406862745098,0.9110658520027155,0.8223039215686274,0.8644122383252818,0.9575011338787967
CatBoost,0.9388480392156863,0.939487975174554,0.7420343137254902,0.8291680931187949,0.9635508653522684
