iter	Logloss
0	0.6541900762
1	0.6232662198
2	0.5950932811
3	0.5758172933
4	0.5558466673
5	0.5364673284
6	0.5137245122
7	0.4996744192
8	0.4875810272
9	0.4748092884
10	0.458924055
11	0.4515994485
12	0.439911313
13	0.4322492394
14	0.425570577
15	0.4179028861
16	0.4092664005
17	0.4037692847
18	0.3958127563
19	0.3902907578
20	0.3854575446
21	0.3784831353
22	0.3733975212
23	0.3700263142
24	0.3678993237
25	0.3652719885
26	0.360951848
27	0.3592361494
28	0.3561945656
29	0.3525928894
30	0.3499376936
31	0.3456212665
32	0.3423160019
33	0.3387199965
34	0.3370544948
35	0.3344142075
36	0.3310234051
37	0.3279906227
38	0.3263330179
39	0.3240577656
40	0.3227725448
41	0.3216871305
42	0.3207558433
43	0.3190911536
44	0.3168390474
45	0.3156263627
46	0.3147219932
47	0.3120053538
48	0.3098134905
49	0.3086516315
50	0.3063601573
51	0.305116612
52	0.304295307
53	0.303048068
54	0.3015667937
55	0.3006681628
56	0.2988267389
57	0.2975154402
58	0.2957749799
59	0.2946282708
60	0.2936710519
61	0.2914688891
62	0.290639217
63	0.2892887848
64	0.2881199765
65	0.2874128609
66	0.2853026049
67	0.2832591524
68	0.2818260586
69	0.2804158355
70	0.279785768
71	0.2790700166
72	0.2781093241
73	0.2773835536
74	0.2756327025
75	0.275027621
76	0.2739547276
77	0.2728344448
78	0.2722756703
79	0.2716861901
80	0.2710832526
81	0.2699819113
82	0.2687358533
83	0.2681389104
84	0.2674411856
85	0.2668489152
86	0.2655393156
87	0.2642927273
88	0.263639682
89	0.2629270533
90	0.2623949681
91	0.2617377293
92	0.261244419
93	0.2599561504
94	0.2588239827
95	0.2576564703
96	0.2568418412
97	0.2564084617
98	0.2559698152
99	0.2549939933
100	0.2536345135
101	0.2530057143
102	0.2519052958
103	0.2506592572
104	0.2496217876
105	0.2490571969
106	0.2485205798
107	0.2475196614
108	0.2470507603
109	0.2460905346
110	0.2455848525
111	0.2450739493
112	0.2441561051
113	0.2434718829
114	0.2429117055
115	0.242543174
116	0.2420520085
117	0.2412079945
118	0.2405961572
119	0.2400814202
120	0.2394946197
121	0.2390345034
122	0.2382672826
123	0.2376658647
124	0.2372213094
125	0.2364303421
126	0.2360167538
127	0.2355011454
128	0.2350618061
129	0.2346149056
130	0.2341597554
131	0.2335052865
132	0.2330428538
133	0.232451537
134	0.2315929359
135	0.2311748848
136	0.2303363775
137	0.229886359
138	0.2294478836
139	0.2287440654
140	0.2282650092
141	0.2275787562
142	0.2267640649
143	0.2262231297
144	0.2259125787
145	0.2254031237
146	0.2250857212
147	0.2246492589
148	0.2238719015
149	0.2233168999
150	0.2227027423
151	0.2223124055
152	0.2219087198
153	0.221412763
154	0.221005777
155	0.220317627
156	0.2199542813
157	0.219559633
158	0.2191631687
159	0.2187917249
160	0.2183269434
161	0.2179225619
162	0.2175468973
163	0.217161676
164	0.2163570507
165	0.2158231224
166	0.2153709159
167	0.214899484
168	0.2143973137
169	0.2138909768
170	0.2135339753
171	0.2130290017
172	0.2127860611
173	0.2123438569
174	0.2119206136
175	0.2114326515
176	0.2110437666
177	0.2106497554
178	0.2103562475
179	0.2100351972
180	0.2094662981
181	0.2090006147
182	0.20854297
183	0.2079685263
184	0.2075820597
185	0.2072319802
186	0.2068892597
187	0.2063027729
188	0.2060074094
189	0.2057154124
190	0.2053277102
191	0.20488815
192	0.204608748
193	0.2043123946
194	0.2039577631
195	0.203600719
196	0.2029872126
197	0.2025825878
198	0.2022526685
199	0.2019010713
200	0.2015653981
201	0.2012710699
202	0.2007126341
203	0.2003555002
204	0.2000915863
205	0.1997568551
206	0.1995083551
207	0.1991816201
208	0.1987580512
209	0.1983529463
210	0.1979636963
211	0.1975991059
212	0.1971595543
213	0.1967105517
214	0.1964168482
215	0.1959848801
216	0.1955986453
217	0.1953226323
218	0.1949313896
219	0.194645057
220	0.194364186
221	0.1940684761
222	0.1937115498
223	0.1933385072
224	0.1929412446
225	0.1926578708
226	0.19236824
227	0.1918913542
228	0.1915635155
229	0.1913182873
230	0.1909035669
231	0.1906103841
232	0.1903477828
233	0.1900898556
234	0.1897518587
235	0.1894326632
236	0.1890015508
237	0.1885323629
238	0.1882580032
239	0.1879886705
240	0.1876673227
241	0.1870463628
242	0.1867727529
243	0.1863882643
244	0.1861223946
245	0.1858095414
246	0.1854437034
247	0.1849198114
248	0.1843487064
249	0.1839622398
250	0.1836138893
251	0.1833188353
252	0.1828392794
253	0.1825153829
254	0.1821197159
255	0.1818614054
256	0.1815227126
257	0.1812997616
258	0.1810310371
259	0.1807577558
260	0.1803117264
261	0.1799080944
262	0.179666387
263	0.1794160317
264	0.1790880539
265	0.1788470645
266	0.1786149933
267	0.1781208289
268	0.1777418323
269	0.1775068791
270	0.1770120048
271	0.1765053558
272	0.1762480964
273	0.1759551877
274	0.1757196757
275	0.1754099231
276	0.1751578114
277	0.1748429123
278	0.1746579556
279	0.1744427114
280	0.1741549147
281	0.1738370829
282	0.1734039196
283	0.1731766123
284	0.1729237311
285	0.172772166
286	0.1724682751
287	0.1721412319
288	0.1718513374
289	0.1715529375
290	0.1712466049
291	0.1708710027
292	0.1706868204
293	0.170475355
294	0.1702489196
295	0.1698793183
296	0.1697198367
297	0.1694120762
298	0.169113529
299	0.1687879008
